record_label_low,occurrences,record_label_major
Masterworks,1727,Sony Music Entertainment
Cooking Vinyl,1724,Sony Music Entertainment
Trojan Records,1723,Sony Music Entertainment
Universal Music Division Barclay,1722,Universal Music Group
New West Records,1721,Independent
A State Of Trance Radio,1708,Universal Music Group
WM Germany,1696,Warner Records
SP Records,1692,Independent
Kscope,1682,Warner Records
!K7 Records,1682,Independent
Frontiers Records,1666,Sony Music Entertainment
Sony BMG Music Entertainment,1660,Sony Music Entertainment
Shanachie,1644,Independent
Universal Music Division Mercury Records,1640,Universal Music Group
Universal Music Polska Sp. z o.o.,1613,Universal Music Group
GRP,1606,Universal Music Group
Universal Music Australia Pty. Ltd.,1596,Universal Music Group
Tratore,1588,Sony Music Entertainment
"Mute, a BMG Company",1585,Sony Music Entertainment
Razor & Tie,1584,Universal Music Group
Temporary Residence Ltd.,1569,Independent
kranky,1552,Independent
The Bicycle Music Company,1552,Universal Music Group
WM UK,1549,Warner Records
Universal Music Division Polydor,1545,Universal Music Group
Hospital Records,1538,Independent
Touch and Go Records,1536,Warner Records
Universal Music Mexico,1530,Universal Music Group
Silva Screen Records,1498,Independent
Tru Thoughts,1488,Universal Music Group
Dead Oceans,1479,Sony Music Entertainment
Rough Trade,1475,Sony Music Entertainment
MCA Nashville,1473,Universal Music Group
Curb Records,1472,Sony Music Entertainment
Listenable Records,1472,Independent
VinDig,1469,Warner Records
Asian Man Records,1461,Independent
Noise Records,1449,Sony Music Entertainment
"Universal Music, a division of Universal International Music BV",1449,Universal Music Group
Prosthetic,1445,Sony Music Entertainment
Atlantic Records UK,1433,Warner Records
Navigator Records,1429,Independent
Universal Music Oy,1428,Universal Music Group
Sacred Bones Records,1424,Independent
WM Poland/WMI,1419,Warner Records
Vanguard Records,1417,Universal Music Group
Kill Rock Stars,1405,Universal Music Group
Integrity Music,1394,Independent
Kompakt,1389,Independent
Universal Music Division Decca Records France,1387,Universal Music Group
Virgin,1382,Universal Music Group
MTJ,1381,Independent
Sparrow,1380,Universal Music Group
WEA,1373,Warner Records
BMG Rights Management GmbH,1370,Sony Music Entertainment
Glassnote Entertainment Group LLC,1356,Sony Music Entertainment
avex trax,1349,Sony Music Entertainment
Numero Group,1327,Independent
FiXT,1321,Independent
EA Music,1312,Independent
SideOneDummy Records,1305,Sony Music Entertainment
Island Def Jam,1301,Universal Music Group
Denovali Records,1289,Independent
Rhymesayers,1287,Warner Records
RCA Victor,1285,Sony Music Entertainment
Sony Music Catalog,1283,Sony Music Entertainment
Deathwish Inc.,1270,Sony Music Entertainment
SPV,1266,Sony Music Entertainment
Monstercat,1265,Independent
Hellcat/Epitaph,1256,Warner Records
Southern Lord,1237,Universal Music Group
Hillsong (HIL),1237,Universal Music Group
Ryko/Rhino,1233,Warner Records
Indie Recordings,1226,Universal Music Group
Dischord Records,1223,Independent
Capitol Nashville,1221,Universal Music Group
DRO/EastWest Spain,1218,Warner Records
Because Music,1210,Universal Music Group
Morr Music,1205,Independent
Playground Music,1203,Independent
Decca (UMO),1201,Universal Music Group
Mercury Nashville,1192,Universal Music Group
One Little Independent,1189,Independent
Dim Mak Records,1186,Warner Records
Cloud 9 Music,1185,Independent
Captured Tracks,1174,Universal Music Group
Unique Leader Records,1168,Independent
In The Red,1160,Independent
Parlophone Denmark,1155,Warner Records
WILLOWTIP INC. (WTP),1128,Independent
Pure Noise Records,1124,Sony Music Entertainment
Comedy Central Records,1123,Independent
Croatia Records,1121,Independent
X5 Music Group,1119,Warner Records
Anjunadeep,1114,Universal Music Group
Spinnin' Records,1105,Warner Records
Barsuk Records,1101,Independent
recordJet,1098,Sony Music Entertainment
BMG Rights Management (UK) Ltd,1096,Sony Music Entertainment
Lifeforce Records,1080,Independent
FatCat Records,1066,Sony Music Entertainment
Facedown Records,1052,Independent
Victor,1048,Sony Music Entertainment
Mom+Pop,1041,Independent
Run For Cover Records,1036,Independent
Crammed Discs,1031,Independent
Pop Art,1031,Independent
Play It Again Sam,1025,Independent
ACT Music,1023,Independent
Artoffact Records,1017,Independent
Profound Lore,1008,Independent
Sargent House,1007,Independent
Projekt,1006,Universal Music Group
Drakkar Entertainment,1000,Independent
Spinnup,999,Warner Records
"Shrapnel Records, Inc.",998,Sony Music Entertainment
Agonia Records,998,Universal Music Group
American Recordings Catalog P&D,998,Universal Music Group
Dependent,995,Independent
Solid State Records (SST),995,Universal Music Group
Savoy,995,Universal Music Group
WM Japan,994,Warner Records
Sony Music CG,990,Sony Music Entertainment
Dine Alone Music Inc.,988,Sony Music Entertainment
J Records,988,Sony Music Entertainment
Frank Zappa Catalog,986,Universal Music Group
Atomic Fire,982,Universal Music Group
Svart Records,980,Independent
EMI Brazil,974,Universal Music Group
Black Hole Recordings,969,Independent
Bella Union,967,Sony Music Entertainment
ARVA,966,Independent
Sony Music Direct (Japan) Inc.,964,Sony Music Entertainment
Cryo Chamber,963,Independent
Arista/Legacy,959,Sony Music Entertainment
Infacted Recordings,956,Independent
Ubisoft Music,954,Independent
Universal Music A/S,951,Universal Music Group
MRI,949,Sony Music Entertainment
Echo,949,Sony Music Entertainment
n5MD,949,Independent
Rise Above Limited,940,Independent
BMG Rights Management (UK) Limited,931,Sony Music Entertainment
Warner (France),924,Warner Records
Saddle Creek,924,Independent
Topshelf Records,916,Independent
Greensleeves Records,912,Warner Records
The Orchard,912,Independent
Stax,912,Universal Music Group
Mello Music Group,908,Sony Music Entertainment
EMI Marketing,902,Universal Music Group
Universal Music Canada,899,Universal Music Group
Audiolith,896,Independent
Mexican Summer,883,Independent
Lou & Rocked Boys,878,Independent
Capitol Records (CAP),870,Universal Music Group
Bloodshot Records,869,Warner Records
Armada Music Bundles,869,Universal Music Group
Western Vinyl,866,Independent
Ace Records,865,Independent
Tapete Records,865,Independent
Ferret Music,863,Warner Records
WM Italy,863,Warner Records
Project Mooncircle,860,Independent
Lantis,859,Independent
Paul McCartney Catalog,857,Universal Music Group
Auerbach Tonträger / Prophecy Productions,854,Warner Records
Burning Heart Records/Epitaph,852,Independent
Hymen Records,852,Independent
Armada Music,851,Universal Music Group
Moribund Records,851,Independent
Om,845,Independent
Triple Crown Records,845,Sony Music Entertainment
Hardly Art,844,Warner Records
Legacy/Columbia,841,Sony Music Entertainment
Real Music,840,Universal Music Group
Edsel,838,Independent
People Like You Records,834,Independent
Elefant Records,832,Independent
Essential Records,831,Sony Music Entertainment
Constellation,829,Independent
Kayax Production & Publishing,828,Warner Records
Last Gang,825,Independent
BRIDGE 9 RECORDS (B9R),825,Universal Music Group
RCA Records Label Nashville,825,Sony Music Entertainment
JKP/WM Germany,821,Warner Records
Narada,809,Universal Music Group
FlyingDog,806,Warner Records
Erased Tapes,802,Independent
Red Scare,796,Independent
Slumberland Records,796,Sony Music Entertainment
M2BA,794,Independent
ZYX Music,794,Independent
Alligator Records,793,Warner Records
Rdeg,792,Universal Music Group
WM Norway,789,Warner Records
Strut,789,Universal Music Group
Republic Records,785,Universal Music Group
Reunion Records,783,Sony Music Entertainment
YG Entertainment,782,Independent
Columbia Nashville Legacy,782,Sony Music Entertainment
Fueled By Ramen,780,Warner Records
Kitsuné Musique,777,Universal Music Group
Jive Epic,777,Sony Music Entertainment
Mad Decent,770,Universal Music Group
Accession Records,767,Independent
Excelsior Recordings,765,Independent
K Records,765,Independent
Astralwerks,759,Universal Music Group
Counter Records,759,Independent
Scarlet Records,759,Independent
WM Mexico,759,Warner Records
Universal Music Group International,756,Universal Music Group
Solid State Records,756,Universal Music Group
iMusician Digital,754,Independent
Smithsonian Folkways Recordings,752,Independent
Hyperdub,751,Independent
Joyful Noise Recordings,749,Independent
ant-zen,746,Independent
Asthmatic Kitty,743,Sony Music Entertainment
Cyclic Law,742,Independent
Real World Records,742,Universal Music Group
Metal Mind Productions,742,Independent
Big Beat Records/Atlantic,741,Warner Records
Razzia,741,Sony Music Entertainment
Now Again Records,739,Universal Music Group
Big Dada,737,Independent
Ed Banger Records,735,Universal Music Group
Dais Records,734,Independent
Universal Music Division Capitol Music France,733,Universal Music Group
Decca (UMO) (Classics),732,Universal Music Group
Biscoito Fino,732,Independent
Fania,732,Universal Music Group
Fat Beats Records,731,Independent
mudhutdigital.com,731,Sony Music Entertainment
Brandon Ebel Company (BEC),731,Universal Music Group
Volcano,729,Sony Music Entertainment
Tragic Hero Records,728,Warner Records
Maverick,727,Warner Records
Vitamin Records,722,Independent
PONY CANYON INC.,721,Warner Records
Epidemic Sound,718,Sony Music Entertainment
Black Mark,713,Sony Music Entertainment
PTKF,711,Independent
Mascot Records,706,Warner Records
Dissonance Productions,706,Independent
Top Notch Music BV,704,Universal Music Group
Suicide Squeeze Records,700,Independent
Priority Records,698,Universal Music Group
Electrola,698,Universal Music Group
Small Stone Records Co.,696,Independent
Scanner,695,Independent
MNW Music AB,694,Universal Music Group
harmonia mundi,693,Independent
Mediaskare Records,693,Sony Music Entertainment
Deep Elm,692,Sony Music Entertainment
Chillhop Music,691,Independent
Pronoize,690,Independent
CM BLUE NOTE (A92),688,Universal Music Group
Frontiers Records s.r.l.,687,Independent
Mercury Studios,685,Universal Music Group
Alternative Tentacles,682,Independent
SUPRAPHON a.s.,682,Warner Records
"Big Machine Records, LLC",680,Universal Music Group
JYP Entertainment,679,Independent
Aftermath,678,Universal Music Group
Deranged Records,678,Universal Music Group
No Sleep Records,678,Universal Music Group
"Tommy Boy Music, LLC",677,Warner Records
World Circuit,676,Sony Music Entertainment
Unknown,676,Independent
Xtreem Music,668,Independent
Telarc,668,Universal Music Group
Nacional Records,666,Independent
Heavenly Recordings,664,Independent
Darla,663,Independent
Magna Carta Records,663,Warner Records
Woah Dad!,662,Warner Records
Stupido,662,Independent
OWSLA,660,Sony Music Entertainment
Impulse!,659,Universal Music Group
"Maldito Records, S.L.",657,Independent
Sevared Records,656,Warner Records
Cosmicleaf Records,656,Independent
Back Lot Music,655,Universal Music Group
Debemur Morti Productions,654,Warner Records
Mushroom Pillow,653,Universal Music Group
Eleven Seven Music,651,Warner Records
Sugar Hill Records,651,Universal Music Group
Carpark Records,646,Warner Records
Anagram Records,646,Independent
Arista Nashville,644,Sony Music Entertainment
Aural Music,643,Sony Music Entertainment
Memphis Industries,642,Independent
Despotz Records AB,642,Independent
Bad Boy Records,642,Warner Records
Revelation Records,639,Independent
Universal Music s.r.o.,636,Universal Music Group
Lost Highway Records,635,Universal Music Group
RAM Records,635,Sony Music Entertainment
Windham Hill Records,631,Sony Music Entertainment
UNFD,631,Sony Music Entertainment
InVogue Records,630,Sony Music Entertainment
Paper Bag Records,628,Independent
GBV Inc,626,Warner Records
Don Giovanni Records,625,Sony Music Entertainment
London Music Stream,623,Sony Music Entertainment
Subterfuge Records,623,Warner Records
Music Brokers,622,Independent
Limb Music,621,Independent
Universal Digital Enterprises,621,Universal Music Group
Grand Hotel Van Cleef,620,Independent
"Arts & Crafts Productions, Inc.",620,Universal Music Group
Xtra Mile Recordings,617,Independent
Babygrande Records,617,Sony Music Entertainment
DGC,617,Universal Music Group
Frontiers Music s.r.l,615,Independent
Nordvis,614,Independent
Prosto Label,614,Sony Music Entertainment
Grateful Dead/Rhino,614,Warner Records
Nuclear Blast Entertainment,613,Independent
Jimmy Jazz Records,609,Independent
Firefly Entertainment,605,Independent
SST Records,604,Independent
Milan Records,603,Sony Music Entertainment
RBC Records,601,Universal Music Group
No Idea Records,600,Independent
Peak Records,599,Universal Music Group
Krunk,597,Independent
Universal Music Enterprises,596,Universal Music Group
RCA Bluebird,591,Sony Music Entertainment
Steamhammer,590,Warner Records
Lupus Lounge / Prophecy Productions,590,Warner Records
Cold Spring,588,Sony Music Entertainment
Blackened Recordings,587,Independent
Prestige,587,Universal Music Group
Parlophone Norway,587,Warner Records
Bureau B,586,Independent
LTM Recordings,586,Independent
R&S Records,585,Universal Music Group
Polskie Radio S.A.,585,Independent
Psychopathic,584,Sony Music Entertainment
Blue Note (BLU),584,Universal Music Group
Young God Records,583,Independent
Warner Classics International,581,Warner Records
Downtown Records - Catalog,579,Universal Music Group
Innovative Leisure,578,Universal Music Group
Daptone Records,576,Sony Music Entertainment
"Strange Music, Inc",575,Universal Music Group
ULTIMAE,574,Independent
[PIAS] Recordings Catalogue,571,Independent
Apocalyptic Vision Records,570,Independent
Nitro Records (Concord),570,Universal Music Group
Dangerbird Records,569,Sony Music Entertainment
Ministry of Sound Recordings,569,Sony Music Entertainment
Capitol Latin,568,Universal Music Group
Soleilmoon Recordings,567,Independent
Soundway Records,566,Independent
Kontor Records,565,Universal Music Group
Caroline Records,564,Universal Music Group
UNIDISC MUSIC INC.,561,Universal Music Group
Ubiquity Records,561,Independent
Rounder,561,Universal Music Group
Smalltown Supersound,559,Independent
Brainfeeder,558,Independent
Not Not Fun,557,Warner Records
WEA Latina,556,Warner Records
Sonar Kollektiv,554,Independent
Skill Tree Records,553,Warner Records
Red Bullet,553,Sony Music Entertainment
Свет и Тени,553,Sony Music Entertainment
Inverse Records,552,Independent
Interscope Records*,551,Universal Music Group
Wagram Music,551,Independent
Columbia Nashville,551,Sony Music Entertainment
rhythm zone,546,Sony Music Entertainment
Syco Music,544,Sony Music Entertainment
London Music Stream/Because Music,543,Universal Music Group
DFA Records,541,Universal Music Group
FRANK SINATRA DIGITAL REPRISE,541,Universal Music Group
Ván Records,541,Independent
Hospital Productions,540,Independent
Blood Music,539,Warner Records
Sire/Warner Records,537,Warner Records
Bar/None Records,535,Warner Records
Gotee Records,535,Independent
Higher Octave,533,Universal Music Group
COP International,532,Independent
BBE Music,531,Independent
The Leaf Label,530,Sony Music Entertainment
BPitch Control,529,Independent
Tankcrimes,528,Sony Music Entertainment
Deadline Music,527,Sony Music Entertainment
Danse Macabre Records,526,Universal Music Group
Revealed Recordings,526,Independent
Lion Music,523,Sony Music Entertainment
La Tempesta Dischi,523,Independent
12k,522,Independent
Mighty Music,520,Universal Music Group
Chemikal Underground,520,Independent
"Ultra Records, LLC",519,Sony Music Entertainment
Rune Grammofon,518,Universal Music Group
Long Branch Records,518,Independent
Too Pure,518,Warner Records
Karrot Kommando,518,Independent
Hip-O Select,516,Universal Music Group
Discipline Global Mobile,516,Independent
Taang! Records,513,Independent
V2 Records Benelux,513,Universal Music Group
Roc Nation / Jay-Z,512,Universal Music Group
20 Buck Spin,508,Independent
Fair Trade/Columbia,508,Sony Music Entertainment
Virgin Records Ltd,507,Universal Music Group
Fontana South,504,Universal Music Group
Kanine Records,504,Independent
UMGRI Interscope,503,Universal Music Group
Unsigned,503,Independent
Editions Mego,502,Independent
Frenchkiss Records,502,Sony Music Entertainment
City Slang,502,Universal Music Group
Lo Recordings,501,Independent
Freestyle Records,500,Warner Records
Hell's Headbangers,500,Warner Records
Big Brother Recordings Ltd,500,Independent
VAP,499,Warner Records
Tee Pee Records,499,Warner Records
Cooking Vinyl Limited,498,Sony Music Entertainment
Armind,497,Sony Music Entertainment
Fuego,496,Independent
Sheffield Tunes,495,Independent
Compass Records,495,Warner Records
"Dualtone Music Group, Inc.",495,Universal Music Group
Roc-A-Fella,494,Universal Music Group
Aniplex Inc.,493,Sony Music Entertainment
"ABKCO Music and Records, Inc.",492,Universal Music Group
Iboga Records,492,Independent
Labrador Records,491,Universal Music Group
Damaged Goods,491,Independent
Pschent Music,489,Independent
Bad Taste Records,489,Independent
BCore Disc,487,Warner Records
WM Australia,484,Warner Records
Concord Jazz,482,Universal Music Group
Position Music,480,Independent
Lex Records,480,Sony Music Entertainment
Luaka Bop,480,Warner Records
Quarterstick Records,480,Warner Records
Dark Essence Records,480,Independent
Tôt Ou Tard,479,Independent
Soma Records,478,Independent
'a' Records,477,Universal Music Group
Dark Operative,477,Universal Music Group
Delsin Records,474,Independent
Pink Floyd Records,474,Sony Music Entertainment
Drive Thru Records,473,Universal Music Group
TOY'S FACTORY,471,Universal Music Group
J&R Adventures,469,Independent
Hearts of Space Records,469,Sony Music Entertainment
Progress Productions,468,Independent
Ostgut Ton,467,Independent
RAL (Rush Associated Label),466,Universal Music Group
Word Records,466,Warner Records
Soundcolours,465,Independent
Kung Fu Records,464,Independent
The Flenser,461,Independent
Brownswood Recordings,458,Independent
300 Entertainment,458,Warner Records
Pulverised Records,457,Independent
Goner,455,Independent
Первое музыкальное Издательство,455,Independent
Maldito Records,455,Independent
DreamWorks,455,Universal Music Group
Asfalt Records,454,Warner Records
Light In The Attic,453,Sony Music Entertainment
Purple Pyramid Records,453,Sony Music Entertainment
Chrysalis\EMI Records (USA),453,Universal Music Group
Robotic Empire,452,Independent
Translation Loss,451,Independent
Sunday Best Recordings,451,Independent
Compost Records,451,Independent
Easy Star,450,Independent
Ino/Columbia,449,Sony Music Entertainment
Solitude Productions,449,Universal Music Group
Magik Muzik,449,Independent
Vic Records,449,Sony Music Entertainment
Silence Records,448,Independent
TeamSESH,448,Independent
Document Records,448,Independent
Best,448,Sony Music Entertainment
Four Music Productions,447,Sony Music Entertainment
Mole Listening Pearls,446,Independent
Eulogy Recordings,445,Independent
Dirtnap Records,445,Independent
Megaforce,444,Sony Music Entertainment
Startracks,444,Independent
Heads Up,444,Universal Music Group
Surfdog Records,443,Warner Records
Nervous Records,443,Independent
MK Music,442,Universal Music Group
Cascine,442,Sony Music Entertainment
Sympathy for the Record Industry,442,Independent
Castle Face,441,Independent
東方同人音楽流通,440,Independent
Wind-up Records,440,Universal Music Group
Trouble In Mind Records,440,Independent
High Roller Records,439,Independent
Clandestine Music,438,Warner Records
Inner Wound Recordings,437,Independent
Cosmos,436,Universal Music Group
Eisenwald,436,Independent
Sire,435,Warner Records
Dark Descent Records,435,Sony Music Entertainment
Boa Musica,435,Universal Music Group
スクウェア・エニックス,434,Sony Music Entertainment
BASICK RECORDS,434,Sony Music Entertainment
S-Curve Records,432,Sony Music Entertainment
Soulseller,430,Independent
Jungle Records,430,Independent
Canvasback/ATL,428,Warner Records
Varese,427,Warner Records
Concord Loma Vista,427,Universal Music Group
Type,427,Independent
Schema Records,427,Independent
DRO/Spain,426,Warner Records
Audiogram,426,Independent
Moshi Moshi Records,424,Independent
Speedstar,424,Independent
Verve Forecast,424,Universal Music Group
Zoo Digital,423,Universal Music Group
Studio One,422,Independent
Cafe del Mar Music,420,Independent
SBA Production,419,Warner Records
Green Hill Productions,419,Universal Music Group
ChinChin Records,419,Independent
Leaving Records,418,Sony Music Entertainment
Music Theories Recordings,418,Independent
New State Music,418,Warner Records
Spin Twist Records,418,Independent
Medschool,418,Independent
ZTT Records,417,Universal Music Group
Sakara Records,416,Independent
Neurot Recordings,416,Independent
Moon Vinyl s.r.o.,415,Independent
Woodsist,415,Independent
Buddha Records,415,Sony Music Entertainment
Future Classic,413,Independent
Naive,411,Independent
True North Records,411,Independent
CRYPTIC CORP,410,Independent
Comatose Music,410,Universal Music Group
UMe/Elvis Costello,410,Universal Music Group
YB Music,409,Independent
CGD/EastWest Italy,409,Warner Records
ECM New Series,408,Universal Music Group
naïve,408,Independent
Melting Pot Music,408,Independent
CM/Republic,408,Universal Music Group
Posh Isolation,408,Independent
Wichita Recordings,407,Warner Records
Warner Jazz,407,Warner Records
Fontana International,407,Universal Music Group
Boysnoize Records,406,Independent
ODL,406,Independent
Mass Appeal,405,Independent
Bizarre Leprous Productions,405,Independent
Redfield Records,403,Universal Music Group
Altar Records,403,Independent
Snapper Music,402,Sony Music Entertainment
Young,402,Universal Music Group
Staatsakt Rec. GmbH,401,Independent
A389 Recordings,401,Independent
Provogue,401,Warner Records
X-Ray Dog / BMG Production Music,400,Sony Music Entertainment
SectionZ Records,399,Independent
Friends Of Friends,399,Warner Records
ViciSolum Productions,398,Universal Music Group
Anagram,398,Independent
Mr Bongo,398,Sony Music Entertainment
Matinée Recordings,398,Independent
OOO Universal Music,398,Universal Music Group
Fysisk Format,398,Independent
Musical Freedom,397,Sony Music Entertainment
Count Your Lucky Stars,396,Independent
Big Beat Records,396,Warner Records
Shogun Audio,395,Sony Music Entertainment
[PIAS],395,Independent
Saint Marie,395,Independent
Nettwerk Music Group,395,Sony Music Entertainment
Adrian Recordings,394,Sony Music Entertainment
Hotflush Recordings,394,Independent
Pagan Records,394,Independent
DOĞAN MÜZİK YAPIM,393,Warner Records
Tiny Engines,393,Independent
Double Double Whammy,393,Independent
Ghostlight Records,393,Universal Music Group
Monkeytown Records,392,Independent
George V Records,392,Independent
PAN,391,Independent
Houndstooth,390,Independent
REVELATION RECORDS,390,Independent
Universal (MT),390,Universal Music Group
Misery Guts Music,389,Independent
Hammerheart Records,388,Independent
Peaceville,388,Sony Music Entertainment
Red Bull Records,387,Independent
NCS,386,Warner Records
MPS,385,Universal Music Group
Slap,384,Independent
EmuBands,384,Sony Music Entertainment
Arising Empire,384,Warner Records
Rockabye Baby Music,384,Independent
Distinctive Records,384,Independent
Heavy Psych Sounds,384,Independent
Ghost Box,384,Independent
Cruz Del Sur Music,384,Independent
Lemongrassmusic,383,Independent
RVNG Intl.,382,Independent
Ricordi,382,Sony Music Entertainment
MyMusic,382,Independent
Clouds Hill,381,Independent
Candy Rat Records,381,Independent
Vanguard,381,Universal Music Group
Hybris,380,Independent
Etage Noir Recordings,380,Independent
At(h)ome,380,Universal Music Group
Music Kickup Records,380,Independent
Alkopoligamia.com,379,Independent
EMI MUSIC JAPAN INC.,379,Universal Music Group
Urban,378,Universal Music Group
ADA MÜZİK,378,Independent
Centricity Music,377,Universal Music Group
NAIL Records (HMR Music Kft.),376,Independent
PASAJ,376,Independent
TRAUM Schallplatten,376,Independent
Universal Motown Records Group,375,Universal Music Group
Warner Music Russia,375,Warner Records
Suburban Noize Records,375,Universal Music Group
[blank],375,Universal Music Group
New Earth Records,375,Independent
Monolith Graphics,374,Warner Records
CD PROJEKT RED,374,Independent
Good Fight Music,373,Universal Music Group
Universal Music Portugal SA,373,Universal Music Group
Basedworld Records,372,Independent
Carosello Records,372,Independent
Arista/LaFace Records,372,Sony Music Entertainment
High Focus Records,372,Independent
